Deposit,Observation_ID,208Pb/204Pb,207Pb/204Pb,206Pb/204Pb
Deposit_1,0,36.68,14.71,19.09
Deposit_1,1,38.36,16.31,18.61
Deposit_1,2,38.39,15.51,17.93
Deposit_1,3,38.73,16.15,19.44
Deposit_1,4,39.04,15.14,19.05
Deposit_1,5,39.92,16.29,17.49
Deposit_1,6,38.31,15.28,19.73
Deposit_1,7,37.63,14.52,19.47
Deposit_1,8,39.28,16.31,19.85
Deposit_1,9,37.45,14.68,19.18
Deposit_1,10,38.04,15.14,18.84
Deposit_1,11,36.77,16.4,18.25
Deposit_1,12,36.59,16.4,19.8
Deposit_1,13,39.87,15.65,19.6
Deposit_1,14,39.43,15.76,17.14
Deposit_1,15,38.94,15.4,17.08
Deposit_1,16,37.93,15.09,18.13
Deposit_1,17,37.11,15.16,19.43
Deposit_1,18,37.05,15.85,19.96
Deposit_1,19,37.38,16.0,17.45
Deposit_1,20,38.42,16.08,18.78
Deposit_1,21,39.0,16.08,18.14
Deposit_1,22,38.81,14.68,19.91
Deposit_1,23,37.48,15.49,19.53
Deposit_1,24,39.84,14.62,19.51
Deposit_1,25,39.08,15.6,18.41
Deposit_1,26,38.44,15.38,18.24
Deposit_1,27,38.64,16.28,17.82
Deposit_1,28,37.97,15.2,17.17
Deposit_1,29,37.37,14.73,19.59
Deposit_1,30,37.75,14.79,19.44
Deposit_1,31,39.15,16.02,20.0
Deposit_1,32,36.55,15.74,19.99
Deposit_1,33,36.91,14.7,18.67
Deposit_1,34,36.66,14.67,19.31
Deposit_1,35,36.64,15.9,19.83
Deposit_1,36,39.49,14.65,19.55
Deposit_1,37,38.96,16.14,17.74
Deposit_1,38,38.16,15.91,18.35
Deposit_1,39,36.84,14.66,17.39
Deposit_1,40,38.22,14.67,19.86
Deposit_1,41,38.16,16.47,18.82
Deposit_1,42,37.11,15.25,17.69
Deposit_1,43,38.02,15.24,19.02
Deposit_1,44,37.89,16.13,18.85
Deposit_1,45,38.66,16.39,18.07
Deposit_1,46,38.72,16.47,17.34
Deposit_1,47,36.66,16.01,19.01
Deposit_1,48,37.81,15.25,18.56
Deposit_1,49,38.69,14.67,19.32
Deposit_1,50,38.26,16.05,18.56
Deposit_1,51,39.5,15.62,19.56
Deposit_1,52,38.81,15.35,18.66
Deposit_1,53,37.07,16.31,18.68
Deposit_1,54,36.75,14.72,19.63
Deposit_1,55,38.75,15.49,18.21
Deposit_1,56,36.59,14.52,17.4
Deposit_1,57,38.55,15.44,17.09
Deposit_1,58,39.79,14.61,19.27
Deposit_1,59,38.51,14.74,18.86
Deposit_1,60,37.86,14.74,19.11
Deposit_1,61,38.75,15.8,17.64
Deposit_1,62,38.1,15.99,17.41
Deposit_1,63,38.41,15.67,17.04
Deposit_1,64,39.8,16.42,18.05
Deposit_1,65,37.85,15.25,18.77
Deposit_1,66,39.86,15.07,18.18
Deposit_1,67,39.67,16.24,18.31
Deposit_1,68,37.19,14.95,19.71
Deposit_1,69,36.74,16.43,18.04
Deposit_1,70,36.85,14.52,18.54
Deposit_1,71,36.56,16.44,19.35
Deposit_1,72,36.83,14.59,18.19
Deposit_1,73,38.89,16.28,18.87
Deposit_1,74,36.75,15.56,19.59
Deposit_1,75,37.62,16.49,19.85
Deposit_1,76,39.46,14.65,17.44
Deposit_1,77,36.58,15.61,19.78
Deposit_1,78,39.35,16.44,18.48
Deposit_1,79,37.49,15.55,17.77
Deposit_1,80,36.91,15.76,18.38
Deposit_1,81,38.94,15.89,19.94
Deposit_1,82,38.7,15.41,18.48
Deposit_1,83,39.57,15.76,17.99
Deposit_1,84,39.07,15.67,18.9
Deposit_1,85,39.31,16.3,17.72
Deposit_1,86,37.49,14.59,17.23
Deposit_1,87,37.12,15.06,17.39
Deposit_1,88,39.13,16.4,17.38
Deposit_1,89,39.32,16.28,17.46
Deposit_1,90,39.97,15.41,17.42
Deposit_1,91,37.94,15.74,18.92
Deposit_1,92,37.8,15.05,17.55
Deposit_1,93,39.22,14.88,18.04
Deposit_1,94,37.69,15.43,19.69
Deposit_1,95,39.76,15.21,18.42
Deposit_1,96,39.5,15.67,19.0
Deposit_1,97,38.0,14.66,17.52
Deposit_1,98,39.13,16.45,17.58
Deposit_1,99,39.14,16.47,17.12
Deposit_2,0,37.09,15.57,19.12
Deposit_2,1,37.48,14.6,17.46
